period,scenario,brand,market,business_unit,metric,value,unit,provenance
2026-01,actual,MINISO,mainland,MINISO - Chinese Mainland,revenue,1008.595781,RMB millions,synthetic_allocation
2026-01,actual,MINISO,mainland,MINISO - Chinese Mainland,gross_profit,446.778359,RMB millions,synthetic_allocation
2026-01,actual,MINISO,mainland,MINISO - Chinese Mainland,cost_of_sales,561.817422,RMB millions,synthetic_allocation
2026-01,actual,MINISO,mainland,MINISO - Chinese Mainland,operating_expense,302.937978,RMB millions,synthetic_allocation
2026-01,actual,MINISO,mainland,MINISO - Chinese Mainland,operating_profit,143.840382,RMB millions,synthetic_allocation
2026-01,actual,MINISO,mainland,MINISO - Chinese Mainland,average_ticket,91.960000,RMB per transaction,synthetic_allocation
2026-01,actual,MINISO,mainland,MINISO - Chinese Mainland,volume,10.967766,million transactions,calculated
2026-02,actual,MINISO,mainland,MINISO - Chinese Mainland,revenue,874.116344,RMB millions,synthetic_allocation
2026-02,actual,MINISO,mainland,MINISO - Chinese Mainland,gross_profit,387.207912,RMB millions,synthetic_allocation
2026-02,actual,MINISO,mainland,MINISO - Chinese Mainland,cost_of_sales,486.908432,RMB millions,synthetic_allocation
2026-02,actual,MINISO,mainland,MINISO - Chinese Mainland,operating_expense,262.546248,RMB millions,synthetic_allocation
2026-02,actual,MINISO,mainland,MINISO - Chinese Mainland,operating_profit,124.661664,RMB millions,synthetic_allocation
2026-02,actual,MINISO,mainland,MINISO - Chinese Mainland,average_ticket,91.960000,RMB per transaction,synthetic_allocation
2026-02,actual,MINISO,mainland,MINISO - Chinese Mainland,volume,9.505397,million transactions,calculated
2026-03,actual,MINISO,mainland,MINISO - Chinese Mainland,revenue,1075.835500,RMB millions,synthetic_allocation
2026-03,actual,MINISO,mainland,MINISO - Chinese Mainland,gross_profit,476.563583,RMB millions,synthetic_allocation
2026-03,actual,MINISO,mainland,MINISO - Chinese Mainland,cost_of_sales,599.271917,RMB millions,synthetic_allocation
2026-03,actual,MINISO,mainland,MINISO - Chinese Mainland,operating_expense,323.133843,RMB millions,synthetic_allocation
